x,y,base_amount,sharpe_ratio,max_drawdown,total_return,score
0.01,0.8,500.0,0.7508026063155394,-0.08855162398889575,0.1655536175740097,-0.7508026063155394
0.01,0.7000000000000001,500.0,0.7324474760248901,-0.08903028991036045,0.16522293111703365,-0.7324474760248901
0.01,0.6,1000.0,0.718337593289238,-0.09005020280836425,0.16615326456316615,-0.718337593289238
0.01,0.7000000000000001,1000.0,0.7134277214164386,-0.08876480429018849,0.15944168166719172,-0.7134277214164386
0.01,0.8,1500.0,0.7087101646177735,-0.0853269745113421,0.14971299269437677,-0.7087101646177735
0.01,0.5,1500.0,0.6955889521597111,-0.08879176290427505,0.16010315809249914,-0.6955889521597111
0.01,0.7000000000000001,1500.0,0.6936635286585703,-0.08786720875428378,0.15131733729198257,-0.6936635286585703
0.08,0.7000000000000001,2000.0,0.6897500148648248,-0.1269014432606996,0.22997559438282006,-0.6897500148648248
0.02,0.8,2000.0,0.6830025825620032,-0.10684568763059592,0.1741978217654927,-0.6830025825620032
0.01,0.4,2000.0,0.6830025825620032,-0.10684568763059592,0.1741978217654927,-0.6830025825620032
0.06999999999999999,0.6,2000.0,0.6765466478886151,-0.1251181570039537,0.22408382010696878,-0.6765466478886151
0.08,0.7000000000000001,1500.0,0.6765339512661385,-0.12720584193917878,0.22184231174814067,-0.6765339512661385
0.01,0.7000000000000001,2000.0,0.6765280011404738,-0.08833552092237296,0.1465249828964661,-0.6765280011404738
0.06999999999999999,0.6,1500.0,0.675927474739127,-0.1271635823706106,0.22535377838262813,-0.675927474739127
0.01,0.8,1000.0,0.6723045763262836,-0.08908205433654888,0.1450145819980289,-0.6723045763262836
0.060000000000000005,0.5,1500.0,0.6688755954655938,-0.1266673937807696,0.22622502426610408,-0.6688755954655938
0.060000000000000005,0.5,2000.0,0.6667339393762363,-0.12649273646203835,0.22449931502611725,-0.6667339393762363
0.01,0.6,1500.0,0.6658043120882539,-0.08906680320648455,0.15015014210409827,-0.6658043120882539
0.060000000000000005,0.5,1000.0,0.662288928893969,-0.12675752046589012,0.2243148270781554,-0.662288928893969
0.05,0.4,2000.0,0.6580536741266161,-0.12550042936534092,0.2213244710886349,-0.6580536741266161
0.04,0.30000000000000004,2000.0,0.6560723647121641,-0.12646956317998123,0.22549027958819007,-0.6560723647121641
0.08,0.6,2000.0,0.6560723647121606,-0.12646956317998145,0.22549027958819023,-0.6560723647121606
0.05,0.4,1000.0,0.6547676268486563,-0.1262852465177927,0.22216551753365713,-0.6547676268486563
0.06999999999999999,0.6,1000.0,0.6530823349862096,-0.1262012832617219,0.2164112156114441,-0.6530823349862096
0.01,0.5,1000.0,0.6526877671015975,-0.09720372517706172,0.15195751846912717,-0.6526877671015975
0.06999999999999999,0.5,2000.0,0.6504696142763824,-0.12698108056396915,0.22579724321859157,-0.6504696142763824
0.01,0.5,2000.0,0.6480796397380372,-0.08991404886748963,0.1507120866465428,-0.6480796397380372
0.01,0.6,500.0,0.6476282576775902,-0.10352151629225481,0.14952960234374624,-0.6476282576775902
0.05,0.4,1500.0,0.6476138142780086,-0.12596165963260983,0.2183013992633847,-0.6476138142780086
0.06999999999999999,0.2,2000.0,0.6472913606131487,-0.12539161303121052,0.22418893230826525,-0.6472913606131487
