ts,open,high,low,close,volume
2025-03-25 08:00:00,86455.9,87500.0,86410.0,87376.1,1179.0447673
2025-03-25 12:00:00,87378.0,88262.0,86929.3,87768.1,1684.86699055
2025-03-25 16:00:00,87768.1,88328.0,87577.2,88114.4,959.90616915
2025-03-25 20:00:00,88112.1,88545.7,87134.5,87414.6,848.22786507
2025-03-26 00:00:00,87414.6,87898.0,87027.7,87159.0,698.49929255
2025-03-26 04:00:00,87159.0,88284.0,87048.0,88140.0,795.13136719
2025-03-26 08:00:00,88139.8,88267.9,87816.6,87956.8,1144.20305623
2025-03-26 12:00:00,87956.8,88020.0,86434.3,86740.8,2388.32303614
2025-03-26 16:00:00,86740.7,87056.4,85860.0,86552.0,1427.75763902
2025-03-26 20:00:00,86550.0,87400.0,86504.1,86926.2,959.38743421
2025-03-27 00:00:00,86926.3,87765.2,86799.9,87673.6,1098.49540817
2025-03-27 04:00:00,87673.6,87693.3,87241.3,87403.1,678.8140628
2025-03-27 08:00:00,87403.0,87599.9,86700.0,86940.1,1074.39722443
2025-03-27 12:00:00,86940.1,87570.8,85800.0,86970.9,2477.49903499
2025-03-27 16:00:00,86969.6,87425.9,86800.0,87062.7,751.18255616
2025-03-27 20:00:00,87062.7,87724.0,86931.8,87228.0,594.24525248
2025-03-28 00:00:00,87228.0,87504.4,86700.0,86793.8,2010.60924003
2025-03-28 04:00:00,86793.9,86838.7,85156.1,85202.0,2702.61632588
2025-03-28 08:00:00,85202.0,85440.0,84808.8,85249.9,1656.3839916
2025-03-28 12:00:00,85249.9,85631.5,83958.9,84051.5,2967.63495263
2025-03-28 16:00:00,84051.5,84216.2,83585.0,83795.9,1478.66540443
2025-03-28 20:00:00,83796.0,84544.9,83700.0,84427.3,1008.12069786
2025-03-29 00:00:00,84427.4,84626.7,83700.0,84154.3,681.62885543
2025-03-29 04:00:00,84154.2,84254.2,83663.1,83741.4,529.93239265
2025-03-29 08:00:00,83741.3,83957.9,82011.0,82293.2,1886.07377801
2025-03-29 12:00:00,82293.2,82893.9,82128.8,82418.4,813.15435982
2025-03-29 16:00:00,82418.4,82770.4,81644.2,82770.4,1256.79256873
2025-03-29 20:00:00,82770.4,82797.6,82260.0,82650.1,360.76897729
2025-03-30 00:00:00,82650.0,83513.4,82493.1,83080.3,730.36350423
2025-03-30 04:00:00,83080.3,83322.0,82865.2,83083.1,447.87522405
2025-03-30 08:00:00,83083.0,83535.4,82975.0,83126.0,538.23532543
2025-03-30 12:00:00,83127.8,83273.2,82528.8,82735.2,693.3745878
2025-03-30 16:00:00,82736.5,82914.5,82040.0,82549.9,2105.78578846
2025-03-30 20:00:00,82550.0,82760.2,81569.3,82398.2,652.42764422
2025-03-31 00:00:00,82398.4,82456.5,81268.5,81535.4,1072.25620762
2025-03-31 04:00:00,81535.9,82304.7,81407.4,81941.3,862.08147582
2025-03-31 08:00:00,81941.3,82275.3,81300.0,82204.4,971.91569358
2025-03-31 12:00:00,82202.6,83929.6,81666.6,83423.0,2298.51851729
2025-03-31 16:00:00,83420.7,83694.1,82394.5,82459.7,746.84320467
2025-03-31 20:00:00,82459.7,82895.4,82263.6,82556.9,492.75842277
2025-04-01 00:00:00,82556.9,83252.8,82429.6,82964.9,802.4256366
2025-04-01 04:00:00,82964.9,83599.9,82885.7,83452.7,647.54355845
2025-04-01 08:00:00,83452.8,84502.4,83431.9,83923.4,1700.6837999
2025-04-01 12:00:00,83923.4,85500.0,82536.2,85286.8,3200.50098787
2025-04-01 16:00:00,85288.2,85487.2,84697.2,84968.5,1242.39567238
2025-04-01 20:00:00,84968.5,85555.0,84768.2,85168.2,1013.44281315
2025-04-02 00:00:00,85168.3,85273.1,84507.4,84549.9,963.97938729
